"","min_max_s","s1","s2","s3","s4","s5"
"DMU88",0.234728214285719,0.18696,0.234728214285719,0.234728214285719,0.234728214285719,0.234728214285719
"DMU89",0.24196657142855,0.24196657142855,0.24196657142855,0.24196657142855,0.24196657142855,0.24196657142855
"DMU90",0.244649473684318,0.17624,0.04126,0.244649473684318,0,0.244649473684318
"DMU91",0.460477083332884,0.19768,0.460477083332884,0.460477083332884,0,0.460477083332884
"DMU92",0.381617619047367,0.14408,0.381617619047367,0.381617619047367,0,0.381617619047367
"DMU93",0.282886666666725,0.2692,0.06189,0.282886666666725,0.282886666666725,0.282886666666725
"DMU94",0.555878181818301,0.2388,0.06189,0.555878181818302,0.555878181818301,0.555878181818301
"DMU95",0.193330714285688,0.193330714285688,0.193330714285688,0.193330714285688,0.193330714285688,0.0217375
"DMU96",0.19815821428575,0.19815821428575,0.18567,0.19815821428575,0.19815821428575,0.19815821428575
"DMU97",0.447677619047319,0.18696,0.447677619047319,0.447677619047319,0,0.447677619047319
"DMU98",0.189067619047474,0.18696,0.189067619047474,0.189067619047474,0,0.189067619047474
"DMU99",0.320495526315456,0.2084,0.320495526315456,0.320495526315457,0.320495526315456,0.320495526315456
"DMU100",0.520467105262678,0.2236,0.520467105262678,0.520467105262678,0.520467105262678,0.520467105262678
"DMU101",0.391730952381,0.34866,0.16504,0.391730952381,0.391730952381,0.391730952381
"DMU102",0.415490952380617,0.254,0.415490952380617,0.415490952380617,0,0.415490952380617
"DMU103",0.393584285713966,0.2388,0.393584285713966,0.393584285713966,0,0.393584285713966
"DMU104",0.30133272727279,0.2844,0.0412599999999999,0.30133272727279,0.30133272727279,0.30133272727279
"DMU105",0.486963421052175,0.2236,0.486963421052175,0.486963421052176,0.486963421052175,0.486963421052175
"DMU106",0.130638214285719,0.130638214285719,0.02063,0.130638214285719,0.130638214285719,0.130638214285719
"DMU107",0.0245014285714124,0.0245014285714124,0,0.0245014285714124,0,0.0245014285714124
"DMU108",0.147298214285599,0.147298214285599,0.147298214285599,0.147298214285599,0,0.147298214285599
"DMU109",0.276517619047422,0.18696,0.276517619047422,0.276517619047422,0,0.276517619047422
"DMU110",0.249637619047392,0.2084,0.249637619047392,0.249637619047392,0,0.249637619047392
